ordinal_position,structural_rank,tie_group_id,tie_group_size,tie_span_start,tie_span_end,difficulty_band,class_index,template,automorphism_group_order,residual_four_set_count,candidate_minimum_point_orbit_count,unscreened_degree_profile_orbit_count,solver_dependent_metrics_status
1,1,tie001,1,1,1,EASIER_STRUCTURAL_THIRD,68,second_template,240,285,12,755,NOT_STARTED
2,2,tie002,1,2,2,EASIER_STRUCTURAL_THIRD,52,first_template,36,279,26,2578,NOT_STARTED
3,3,tie003,2,3,4,EASIER_STRUCTURAL_THIRD,48,first_template,24,276,35,3894,NOT_STARTED
4,3,tie003,2,3,4,EASIER_STRUCTURAL_THIRD,50,first_template,24,276,35,3894,NOT_STARTED
5,5,tie004,1,5,5,EASIER_STRUCTURAL_THIRD,63,first_template,12,279,58,6948,NOT_STARTED
6,6,tie005,2,6,7,EASIER_STRUCTURAL_THIRD,1,first_template,8,276,105,11682,NOT_STARTED
7,6,tie005,2,6,7,EASIER_STRUCTURAL_THIRD,5,first_template,8,276,105,11682,NOT_STARTED
8,8,tie006,1,8,8,EASIER_STRUCTURAL_THIRD,51,first_template,6,276,85,12618,NOT_STARTED
9,9,tie007,2,9,10,EASIER_STRUCTURAL_THIRD,66,first_template,6,279,90,12744,NOT_STARTED
10,9,tie007,2,9,10,EASIER_STRUCTURAL_THIRD,67,first_template,6,279,90,12744,NOT_STARTED
11,11,tie008,1,11,11,EASIER_STRUCTURAL_THIRD,58,first_template,6,279,93,13206,NOT_STARTED
12,12,tie009,2,12,13,EASIER_STRUCTURAL_THIRD,8,first_template,4,277,143,19470,NOT_STARTED
13,12,tie009,2,12,13,EASIER_STRUCTURAL_THIRD,12,first_template,4,277,143,19470,NOT_STARTED
14,14,tie010,4,14,17,EASIER_STRUCTURAL_THIRD,3,first_template,4,277,151,20154,NOT_STARTED
15,14,tie010,4,14,17,EASIER_STRUCTURAL_THIRD,6,first_template,4,277,151,20154,NOT_STARTED
16,14,tie010,4,14,17,EASIER_STRUCTURAL_THIRD,28,first_template,4,277,151,20154,NOT_STARTED
17,14,tie010,4,14,17,EASIER_STRUCTURAL_THIRD,46,first_template,4,277,151,20154,NOT_STARTED
18,18,tie011,2,18,19,EASIER_STRUCTURAL_THIRD,54,first_template,4,279,151,20154,NOT_STARTED
19,18,tie011,2,18,19,EASIER_STRUCTURAL_THIRD,57,first_template,4,279,151,20154,NOT_STARTED
20,20,tie012,2,20,21,EASIER_STRUCTURAL_THIRD,29,first_template,2,277,255,37938,NOT_STARTED
21,20,tie012,2,20,21,EASIER_STRUCTURAL_THIRD,47,first_template,2,277,255,37938,NOT_STARTED
22,22,tie013,2,22,23,EASIER_STRUCTURAL_THIRD,10,first_template,2,278,255,37938,NOT_STARTED
23,22,tie013,2,22,23,EASIER_STRUCTURAL_THIRD,13,first_template,2,278,255,37938,NOT_STARTED
24,24,tie014,4,24,27,MEDIAN_STRUCTURAL_THIRD,55,first_template,2,279,255,37938,NOT_STARTED
25,24,tie014,4,24,27,MEDIAN_STRUCTURAL_THIRD,56,first_template,2,279,255,37938,NOT_STARTED
26,24,tie014,4,24,27,MEDIAN_STRUCTURAL_THIRD,62,first_template,2,279,255,37938,NOT_STARTED
27,24,tie014,4,24,27,MEDIAN_STRUCTURAL_THIRD,64,first_template,2,279,255,37938,NOT_STARTED
28,28,tie015,2,28,29,MEDIAN_STRUCTURAL_THIRD,2,first_template,2,276,263,38334,NOT_STARTED
29,28,tie015,2,28,29,MEDIAN_STRUCTURAL_THIRD,49,first_template,2,276,263,38334,NOT_STARTED
30,30,tie016,2,30,31,MEDIAN_STRUCTURAL_THIRD,7,first_template,2,277,263,38334,NOT_STARTED
31,30,tie016,2,30,31,MEDIAN_STRUCTURAL_THIRD,9,first_template,2,277,263,38334,NOT_STARTED
32,32,tie017,1,32,32,MEDIAN_STRUCTURAL_THIRD,65,first_template,2,279,263,38334,NOT_STARTED
33,33,tie018,6,33,38,MEDIAN_STRUCTURAL_THIRD,4,first_template,2,277,279,39618,NOT_STARTED
34,33,tie018,6,33,38,MEDIAN_STRUCTURAL_THIRD,14,first_template,2,277,279,39618,NOT_STARTED
35,33,tie018,6,33,38,MEDIAN_STRUCTURAL_THIRD,23,first_template,2,277,279,39618,NOT_STARTED
36,33,tie018,6,33,38,MEDIAN_STRUCTURAL_THIRD,31,first_template,2,277,279,39618,NOT_STARTED
37,33,tie018,6,33,38,MEDIAN_STRUCTURAL_THIRD,32,first_template,2,277,279,39618,NOT_STARTED
38,33,tie018,6,33,38,MEDIAN_STRUCTURAL_THIRD,41,first_template,2,277,279,39618,NOT_STARTED
39,39,tie019,8,39,46,MEDIAN_STRUCTURAL_THIRD,16,first_template,2,278,279,39618,NOT_STARTED
40,39,tie019,8,39,46,MEDIAN_STRUCTURAL_THIRD,17,first_template,2,278,279,39618,NOT_STARTED
41,39,tie019,8,39,46,MEDIAN_STRUCTURAL_THIRD,20,first_template,2,278,279,39618,NOT_STARTED
42,39,tie019,8,39,46,MEDIAN_STRUCTURAL_THIRD,21,first_template,2,278,279,39618,NOT_STARTED
43,39,tie019,8,39,46,MEDIAN_STRUCTURAL_THIRD,35,first_template,2,278,279,39618,NOT_STARTED
44,39,tie019,8,39,46,MEDIAN_STRUCTURAL_THIRD,36,first_template,2,278,279,39618,NOT_STARTED
